prof11,"[-1503.48545244 -1539.6594797  -1566.6785456  -1579.73876347
 -1575.22901604 -1557.30836283 -1530.87370181 -1501.0377256
 -1472.23506878 -1449.34137243]"
prof11,"[-1501.59504481 -1531.51594889 -1554.71603247 -1562.63798495
 -1552.47493165 -1530.48755428 -1503.76632991 -1475.27948783
 -1449.75250538 -1426.95904418]"
prof11,"[-1549.09828131 -1566.2418428  -1574.61894924 -1578.56619415
 -1580.00148528 -1580.19390746 -1579.69347233 -1578.94806263
 -1578.09561364 -1577.26460057]"
prof11,"[-1562.7580318  -1562.77973534 -1562.74793199 -1562.72483735
 -1562.70707089 -1562.69664163 -1562.69505875 -1562.70320366
 -1562.67828422 -1562.61876984]"
prof11,"[-1572.72863751 -1572.61826112 -1575.55974008 -1578.8738581
 -1580.22605626 -1578.37779749 -1573.16893726 -1566.05674768
 -1557.39632665 -1548.25577429]"
prof11,"[-1550.08865238 -1561.21889857 -1562.68636374 -1562.69837105
 -1562.70028284 -1562.70938041 -1562.72318493 -1562.73348065
 -1562.74837305 -1562.75967214]"
prof11,"[-1365.50880096 -1496.35474204 -1552.47092739 -1572.61719704
 -1578.82962791 -1580.20475302 -1580.0274054  -1579.35999985
 -1578.56409323 -1577.81227856]"
prof11,"[-1360.34002216 -1545.39123382 -1562.29643615 -1562.48365084
 -1560.94901538 -1562.65334439 -1562.36293203 -1561.48124695
 -1560.3208412  -1559.22685239]"
prof11,"[-1447.32312024 -1558.66386368 -1579.7605847  -1576.37845363
 -1565.06429205 -1551.19635461 -1536.78109489 -1522.61817521
 -1509.02318586 -1496.10547984]"
prof11,"[-1370.16454628 -1521.68270307 -1558.13520373 -1562.20645496
 -1555.06494879 -1543.76522002 -1531.04225981 -1518.0529072
 -1505.305382   -1493.01922255]"
prof11,"[-1562.73241405 -1562.71965484 -1562.70324746 -1562.70020913
 -1562.72087064 -1562.75857257 -1562.7794874  -1562.65096173
 -1560.71829777 -1543.16306264]"
