prof11,"[-1499.40981682 -1515.87597554 -1531.17916537 -1544.44182284
 -1555.71759257 -1564.80148187 -1571.14852455 -1573.87784831
 -1572.93204281 -1568.55806538 -1561.48420596 -1551.97035977
 -1541.34928317 -1527.91021605 -1514.85644104 -1499.78492101
 -1487.98652318 -1475.52544265 -1463.71324222 -1452.60645784]"
prof11,"[-1509.6010248  -1526.13445315 -1544.71346102 -1560.00470063
 -1573.92676439 -1583.96409744 -1588.56437731 -1587.1562903
 -1580.21828304 -1569.20508284 -1555.70714106 -1541.00462495
 -1524.97869555 -1510.18202439 -1494.60678777 -1480.43217842
 -1467.3100757  -1453.94795879 -1442.65983498 -1431.79715013]"
prof11,"[-1552.8612383  -1560.42830728 -1565.69431928 -1569.20691033
 -1571.67484826 -1573.06703173 -1573.77002429 -1573.9851747
 -1573.85877817 -1573.50557392 -1573.00508603 -1572.41365215
 -1571.77108844 -1571.10507947 -1570.44281817 -1569.79448362
 -1569.16860366 -1568.56896688 -1568.00391587 -1567.47323606]"
prof11,"[-1589.49385163 -1589.31265581 -1589.17506128 -1589.07296962
 -1588.97832734 -1588.91158885 -1588.86072379 -1588.82284685
 -1588.76896813 -1588.77847453 -1588.77425844 -1588.76831014
 -1588.77412092 -1588.78040324 -1588.78827227 -1588.8003455
 -1588.60250996 -1588.38490848 -1588.31007273 -1588.86046549]"
prof11,"[-1564.45557512 -1562.72737365 -1562.23399292 -1562.85534331
 -1564.29894323 -1566.23201015 -1568.33645186 -1570.37280124
 -1572.08361616 -1573.30309041 -1573.92414765 -1573.8704942
 -1573.1143838  -1571.75553752 -1569.77997472 -1567.29647153
 -1564.39100694 -1561.15489535 -1557.68477615 -1554.04049555]"
prof11,"[-1562.49769341 -1570.75609838 -1580.83445157 -1587.19519137
 -1588.87639378 -1588.81794797 -1588.78864782 -1588.77444028
 -1588.72644782 -1588.77979515 -1588.79610384 -1588.80911944
 -1588.83677768 -1588.8620397  -1588.88932095 -1588.92150746
 -1588.93182284 -1588.74048451 -1589.01138128 -1589.04049362]"
prof11,"[-1365.2462794  -1441.58414452 -1492.73079914 -1526.12011303
 -1546.89677086 -1559.16128676 -1566.18659196 -1570.12299317
 -1572.24968407 -1573.34708951 -1573.84017148 -1573.98423879
 -1573.90222737 -1573.72554835 -1573.46524528 -1573.17019824
 -1572.8428016  -1572.5316163  -1572.21368189 -1571.90052788]"
prof11,"[-1357.57906678 -1447.77325585 -1581.1768711  -1588.9576113
 -1589.57143012 -1589.67891767 -1589.55450609 -1588.39553907
 -1586.48761262 -1588.19589873 -1588.75234563 -1588.66155074
 -1588.20565953 -1587.49189609 -1586.78760348 -1585.83431641
 -1584.95601762 -1584.21303158 -1584.12069616 -1582.5618403 ]"
prof11,"[-1421.67216606 -1503.30600794 -1543.41549795 -1563.01868141
 -1571.62200324 -1573.98017675 -1572.65480575 -1569.10632525
 -1564.20470723 -1558.4862333  -1552.29037493 -1545.83636503
 -1539.26780169 -1532.67953579 -1526.13435577 -1519.67360998
 -1513.32411414 -1507.10273188 -1501.01945839 -1495.07952971]"
prof11,"[-1479.49534852 -1542.76568427 -1572.04947447 -1584.73998091
 -1588.66214106 -1587.70415334 -1583.94424262 -1578.55592633
 -1572.23014677 -1565.38678498 -1558.28697616 -1551.09566664
 -1543.91787272 -1536.82041431 -1529.8453191  -1523.01829321
 -1516.35418655 -1509.8605821  -1503.54018883 -1497.39245701]"
prof11,"[-1588.90989245 -1588.86231746 -1588.82294237 -1588.79466475
 -1588.77600009 -1588.77145491 -1588.78480353 -1588.81554806
 -1588.8703179  -1588.94320387 -1589.04813795 -1589.17645381
 -1589.3257485  -1589.49049061 -1589.63571275 -1589.6677924
 -1589.23314826 -1575.35315584 -1483.6208111  -1558.41337087]"
